class,words
ham,"['go', 'until', 'jurong', 'point', 'crazy', 'available', 'only', 'in', 'bugis', 'great', 'world', 'la', 'buffet', 'cine', 'there', 'got', 'amore', 'wat']"
ham,"['ok', 'lar', 'joking', 'wif', 'oni']"
spam,"['free', 'entry', 'in', 'wkly', 'comp', 'to', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'to', 'to', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', 'overs']"
ham,"['dun', 'say', 'so', 'early', 'hor', 'already', 'then', 'say']"
ham,"['nah', 'dont', 'think', 'he', 'goes', 'to', 'usf', 'he', 'lives', 'around', 'here', 'though']"
spam,"['freemsg', 'hey', 'there', 'darling', 'its', 'been', 'weeks', 'now', 'and', 'no', 'word', 'back', 'id', 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'to', 'send', 'to', 'rcv']"
ham,"['even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', 'they', 'treat', 'me', 'like', 'aids', 'patent']"
ham,"['as', 'per', 'your', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', 'to', 'copy', 'your', 'friends', 'callertune']"
spam,"['winner', 'as', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'prize', 'reward', 'to', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours', 'only']"
spam,"['had', 'your', 'mobile', 'months', 'or', 'more', 'entitled', 'to', 'update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'free', 'call', 'the', 'mobile', 'update', 'co', 'free', 'on']"
ham,"['im', 'gonna', 'be', 'home', 'soon', 'and', 'dont', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'ive', 'cried', 'enough', 'today']"
spam,"['six', 'chances', 'to', 'win', 'cash', 'from', 'to', 'pounds', 'txt', 'csh', 'and', 'send', 'to', 'cost', 'pday', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']"
spam,"['urgent', 'you', 'have', 'won', 'week', 'free', 'membership', 'in', 'our', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', 'ldnwarw']"
ham,"['ive', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'promise', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'blessing', 'at', 'all', 'times']"
ham,"['have', 'date', 'on', 'sunday', 'with', 'will']"
spam,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
ham,"['oh', 'kim', 'watching', 'here']"
ham,"['eh', 'remember', 'how', 'spell', 'his', 'name', 'yes', 'did', 'he', 'naughty', 'make', 'until', 'wet']"
ham,"['fine', 'if', 'that', 'the', 'way', 'feel', 'that', 'the', 'way', 'its', 'gota']"
spam,"['england', 'macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'to', 'eg', 'england', 'to', 'trywales', 'scotland', 'txt', 'poboxoxwwq']"
ham,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']"
ham,"['going', 'to', 'try', 'for', 'months', 'ha', 'ha', 'only', 'joking']"
ham,"['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']"
ham,"['aft', 'finish', 'my', 'lunch', 'then', 'go', 'str', 'down', 'lor', 'ard', 'smth', 'lor', 'finish', 'ur', 'lunch', 'already']"
ham,"['ffffffffff', 'alright', 'no', 'way', 'can', 'meet', 'up', 'with', 'you', 'sooner']"
ham,"['just', 'forced', 'myself', 'to', 'eat', 'slice', 'im', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'im', 'sick', 'when', 'turn', 'down', 'pizza', 'lol']"
ham,"['lol', 'your', 'always', 'so', 'convincing']"
ham,"['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'tea', 'are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']"
ham,"['im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']"
ham,"['ahhh', 'work', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']"
ham,"['wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'doesnt', 'want', 'to', 'live', 'with', 'us']"
ham,"['yeah', 'he', 'got', 'in', 'at', 'and', 'was', 'apologetic', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', 'but', 'we', 'wont', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you']"
ham,"['tell', 'me', 'anything', 'about', 'you']"
ham,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'cuppa']"
spam,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', 'month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']"
ham,"['yup', 'ok', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'msg', 'again', 'xuhui', 'going', 'to', 'learn', 'on', 'nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', 'am']"
ham,"['oops', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']"
ham,"['see', 'the', 'letter', 'on', 'my', 'car']"
ham,"['anything', 'lor', 'decide']"
ham,"['hello', 'hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']"
ham,"['pls', 'go', 'ahead', 'with', 'watts', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'great', 'weekend', 'abiola']"
ham,"['did', 'forget', 'to', 'tell', 'you', 'want', 'you', 'need', 'you', 'crave', 'you', 'but', 'most', 'of', 'all', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']"
spam,"['rodger', 'burns', 'msg', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'now', 'for', 'delivery', 'tomorrow']"
ham,"['who', 'are', 'you', 'seeing']"
ham,"['great', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'am', 'ltgt', 'inches']"
ham,"['no', 'callsmessagesmissed', 'calls']"
ham,"['didnt', 'you', 'get', 'hep', 'immunisation', 'in', 'nigeria']"
ham,"['fair', 'enough', 'anything', 'going', 'on']"
ham,"['yeah', 'hopefully', 'if', 'tyler', 'cant', 'do', 'it', 'could', 'maybe', 'ask', 'around', 'bit']"
ham,"['dont', 'know', 'how', 'stubborn', 'am', 'didnt', 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', 'kept', 'telling', 'mark', 'im', 'not', 'weak', 'sucker', 'hospitals', 'are', 'for', 'weak', 'suckers']"
ham,"['what', 'you', 'thinked', 'about', 'me', 'first', 'time', 'you', 'saw', 'me', 'in', 'class']"
ham,"['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'whole', 'second', 'gram', 'for', 'ltgt']"
ham,"['fyi', 'has', 'ride', 'early', 'tomorrow', 'morning', 'but', 'hes', 'crashing', 'at', 'our', 'place', 'tonight']"
ham,"['wow', 'never', 'realized', 'that', 'you', 'were', 'so', 'embarassed', 'by', 'your', 'accomodations', 'thought', 'you', 'liked', 'it', 'since', 'was', 'doing', 'the', 'best', 'could', 'and', 'you', 'always', 'seemed', 'so', 'happy', 'about', 'the', 'cave', 'im', 'sorry', 'didnt', 'and', 'dont', 'have', 'more', 'to', 'give', 'im', 'sorry', 'offered', 'im', 'sorry', 'your', 'room', 'was', 'so', 'embarassing']"
spam,"['sms', 'ac', 'sptv', 'the', 'new', 'jersey', 'devils', 'and', 'the', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'or', 'incorrect', 'end', 'reply', 'end', 'sptv']"
ham,"['do', 'you', 'know', 'what', 'mallika', 'sherawat', 'did', 'yesterday', 'find', 'out', 'now', 'lturlgt']"
spam,"['congrats', 'year', 'special', 'cinema', 'pass', 'for', 'is', 'yours', 'call', 'now', 'suprman', 'matrix', 'starwars', 'etc', 'all', 'free', 'bxipwe', 'pm', 'dont', 'miss', 'out']"
ham,"['sorry', 'ill', 'call', 'later', 'in', 'meeting']"
ham,"['tell', 'where', 'you', 'reached']"
ham,"['yesgauti', 'and', 'sehwag', 'out', 'of', 'odi', 'series']"
ham,"['your', 'gonna', 'have', 'to', 'pick', 'up', 'burger', 'for', 'yourself', 'on', 'your', 'way', 'home', 'cant', 'even', 'move', 'pain', 'is', 'killing', 'me']"
ham,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'are', 'situation', 'seekers']"
ham,"['its', 'part', 'of', 'checking', 'iq']"
ham,"['sorry', 'my', 'roommates', 'took', 'forever', 'it', 'ok', 'if', 'come', 'by', 'now']"
ham,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'he', 'said', 'wun', 'cut', 'short', 'he', 'said', 'will', 'cut', 'until', 'look', 'nice']"
spam,"['as', 'valued', 'customer', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no', 'you', 'are', 'awarded', 'with', 'bonus', 'prize', 'call']"
ham,"['today', 'is', 'song', 'dedicated', 'day', 'which', 'song', 'will', 'dedicate', 'for', 'me', 'send', 'this', 'to', 'all', 'ur', 'valuable', 'frnds', 'but', 'first', 'rply', 'me']"
spam,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'to', 'eurodisinc', 'trav', 'acoentry', 'or', 'to', 'claim', 'txt', 'dis', 'to', 'morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']"
spam,"['did', 'you', 'hear', 'about', 'the', 'new', 'divorce', 'barbie', 'it', 'comes', 'with', 'all', 'of', 'kens', 'stuff']"
ham,"['plane', 'to', 'give', 'on', 'this', 'month', 'end']"
ham,"['wah', 'lucky', 'man', 'then', 'can', 'save', 'money', 'hee']"
ham,"['finished', 'class', 'where', 'are', 'you']"
ham,"['hi', 'babe', 'im', 'at', 'home', 'now', 'wanna', 'do', 'something', 'xx']"
ham,"['kkwhere', 'are', 'youhow', 'did', 'you', 'performed']"
ham,"['can', 'call', 'me', 'now']"
ham,"['am', 'waiting', 'machan', 'call', 'me', 'once', 'you', 'free']"
ham,"['thats', 'cool', 'am', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect']"
ham,"['like', 'you', 'peoples', 'very', 'much', 'but', 'am', 'very', 'shy', 'pa']"
ham,"['does', 'not', 'operate', 'after', 'ltgt', 'or', 'what']"
ham,"['its', 'not', 'the', 'same', 'here', 'still', 'looking', 'for', 'job', 'how', 'much', 'do', 'tas', 'earn', 'there']"
ham,"['sorry', 'ill', 'call', 'later']"
ham,"['did', 'you', 'call', 'me', 'just', 'now', 'ah']"
ham,"['ok', 'am', 'on', 'the', 'way', 'to', 'home', 'hi', 'hi']"
ham,"['you', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']"
ham,"['yup', 'next', 'stop']"
ham,"['call', 'you', 'later', 'dont', 'have', 'network', 'if', 'urgnt', 'sms', 'me']"
ham,"['for', 'real', 'when', 'getting', 'on', 'yo', 'only', 'need', 'more', 'tickets', 'and', 'one', 'more', 'jacket', 'and', 'im', 'done', 'already', 'used', 'all', 'my', 'multis']"
ham,"['yes', 'started', 'to', 'send', 'requests', 'to', 'make', 'it', 'but', 'pain', 'came', 'back', 'so', 'im', 'back', 'in', 'bed', 'double', 'coins', 'at', 'the', 'factory', 'too', 'gotta', 'cash', 'in', 'all', 'my', 'nitros']"
ham,"['im', 'really', 'not', 'up', 'to', 'it', 'still', 'tonight', 'babe']"
ham,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']"
ham,"['yeah', 'do', 'don', 'stand', 'to', 'close', 'tho', 'you', 'll', 'catch', 'something']"
ham,"['sorry', 'to', 'be', 'pain', 'is', 'it', 'ok', 'if', 'we', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'in', 'casualty', 'and', 'that', 'means', 'havent', 'done', 'any', 'of', 'stuffmoro', 'and', 'that', 'includes', 'all', 'my', 'time', 'sheets', 'and', 'that', 'sorry']"
ham,"['smile', 'in', 'pleasure', 'smile', 'in', 'pain', 'smile', 'when', 'trouble', 'pours', 'like', 'rain', 'smile', 'when', 'sum', 'hurts', 'smile', 'becoz', 'someone', 'still', 'loves', 'to', 'see', 'smiling']"
spam,"['please', 'call', 'our', 'customer', 'service', 'representative', 'on', 'between', 'ampm', 'as', 'you', 'have', 'won', 'guaranteed', 'cash', 'or', 'prize']"
